playlist_id,title,creator,tag1,tag2,tag3,playcount,collection,shares,comments,songcount,create_time,hot_score,interaction_ratio,time_decay,hot_score_norm,interaction_norm
988690134,经典老歌，久听不厌,流年忧光影,粤语,怀旧,华语,306588704,3390052,30947,5031,115,2017-11-07,123659189.7,0.011073738059181723,0.010964912280701754,1.0,0.18593925138592574
37432514,那些只听前奏就中毒的英文歌,Teeny,流行,欧美,快乐,195227968,3855810,41273,10397,16,2014-11-19,79257224.5,0.01980355089287207,0.007853403141361256,0.6409321273099697,0.34594745382970404
75182300,评论过万的英文歌与潜力股,吴雪龙,欧美,流行,榜单,152451056,2460036,25899,6493,112,2015-05-22,61724262.3,0.016179153262145984,0.00825082508250825,0.49914733443533554,0.27951609259869636
360062344,世界上很好听的纯音乐（经典不朽）,橘子树风车,轻音乐,钢琴,世界音乐,143440800,3146443,39617,8703,197,2016-04-09,58329046.599999994,0.02199615451112933,0.009055236945366738,0.47169105241647585,0.3861355506781402
26467411,那些你熟悉却又不知道名字的轻音乐,Lelow,轻音乐,学习,治愈,119599760,2637182,38147,7151,44,2014-08-30,48639403.1,0.0221098520599038,0.007690335811330429,0.39333326660681134,0.388219506055907
